,50%_of_second_peak_intensity(x1000)
409,0.8941025
425,0.7649375
442,0.5304800000000001
458,0.5195
474,0.4925625
491,0.6427125
507,0.5077324999999999
523,0.91874
540,1.25709
556,0.8837750442500001
572,0.8539675
589,0.834775
605,0.7443000000000002
621,0.9027225000000002
637,0.7490875000000001
653,0.8304375
670,1.2483825
686,2.2590399999999997
703,1.5377925
719,1.9170474999999998
735,1.7575325
751,2.0862925
768,0.7553500000000001
784,0.8014175000000001
800,0.591395
816,0.46568999999999994
833,0.4757625
840,0.49078750000000004
865,0.5225625
882,0.49867750000000005
898,0.572005
914,0.5098575000000001
